x	acos	binomial	nvidia0	nvidia1	nvidia2	nvidia3	nvidia4	nvidia5	nvidia6	d_binomial	d_nvidia0	d_nvidia1	d_nvidia2	d_nvidia3	d_nvidia4	d_nvidia5	d_nvidia6
-0.989798	2.998631	2.733634	2.998636	2.998636	2.998636	2.998636	2.998636	2.998636	2.998636	0.264997	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989698	2.997930	2.733474	2.997935	2.997935	2.997935	2.997935	2.997935	2.997935	2.997935	0.264456	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989598	2.997233	2.733315	2.997238	2.997238	2.997238	2.997238	2.997238	2.997238	2.997238	0.263918	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989498	2.996540	2.733156	2.996545	2.996545	2.996545	2.996545	2.996545	2.996545	2.996545	0.263384	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989398	2.995849	2.732996	2.995854	2.995854	2.995854	2.995855	2.995855	2.995855	2.995855	0.262853	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989298	2.995162	2.732837	2.995167	2.995167	2.995167	2.995167	2.995167	2.995167	2.995167	0.262325	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989198	2.994478	2.732678	2.994483	2.994483	2.994483	2.994483	2.994483	2.994483	2.994483	0.261800	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989098	2.993798	2.732519	2.993803	2.993803	2.993803	2.993803	2.993803	2.993803	2.993803	0.261279	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988998	2.993120	2.732360	2.993125	2.993125	2.993125	2.993125	2.993125	2.993125	2.993125	0.260760	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988898	2.992445	2.732200	2.992450	2.992450	2.992450	2.992450	2.992450	2.992450	2.992450	0.260245	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988798	2.991774	2.732041	2.991779	2.991779	2.991779	2.991779	2.991779	2.991779	2.991779	0.259732	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988698	2.991105	2.731882	2.991110	2.991110	2.991110	2.991110	2.991110	2.991110	2.991110	0.259223	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988598	2.990440	2.731723	2.990445	2.990445	2.990445	2.990445	2.990445	2.990445	2.990445	0.258717	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988498	2.989777	2.731564	2.989782	2.989782	2.989782	2.989782	2.989782	2.989782	2.989782	0.258213	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988398	2.989117	2.731405	2.989122	2.989122	2.989122	2.989122	2.989122	2.989122	2.989122	0.257712	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988298	2.988460	2.731246	2.988465	2.988465	2.988465	2.988465	2.988465	2.988465	2.988465	0.257214	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.988198	2.987805	2.731086	2.987810	2.987810	2.987811	2.987810	2.987810	2.987810	2.987810	0.256719	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
